exp,,min,,old,,koch,
X,Y,X,Y,X,Y,X,Y
0.14302763819095476,-332.6488706365503,0.01570696308546954,-437.6180698151952,0.024551820282848844,-228.31926994846458,0.0386380743379344,-13.753683220582161
,,0.01600725144710896,-425.1423075923374,0.02515239700612769,-216.92899152416203,0.03921135211924602,-3.054609726301578
,,0.016353038045360417,-411.84553669673096,0.025752973729406527,-204.85724345054268,0.04120417488285308,38.71947977684465
,,0.016580529228420585,-401.3152080679956,0.02635355045268537,-193.12623020158162,0.041804751606131924,50.40181662228292
,,0.016880817590060007,-388.6431176842634,0.026790333524160888,-185.42562316429712,0.042323431503509104,60.90375068229662
,,0.017181105951699423,-376.1495074467807,0.032959894408752625,-74.35580560629296,0.04289670928482073,72.72806037134262
,,0.017508693255306067,-363.3754284080487,0.033560471132031464,-63.695673234830565,0.044834934164493356,116.50924024640642
,,0.01794547632678159,-351.697727410565,0.03416104785531031,-52.743482442232335,0.04535361406187054,128.11639909084863
,,0.018409558340224327,-340.20806799573734,0.034761624578589154,-42.76481972008696,0.04581379622646081,138.25577120875118
,,0.01884634141169985,-328.9638187820028,0.035362201301867985,-32.68880419089646,0.04622718020482158,147.6897217962379
,,0.019283124483175373,-317.6526395134249,0.03596277802514683,-22.710141468751544,0.053543296652036554,301.8154408168184
,,0.019638010728749232,-310.29033348062285,0.036563354748425675,-12.244714711379629,0.05395278078154486,308.41109349413864
,,0.02023858745202807,-293.2535922476918,0.03716393147170452,-1.438553129349316,0.05583640777728305,344.89405793437186
,,0.020784566291372472,-279.59174832566555,0.03776450819498335,9.464961259726465,0.05643698450056188,355.0187498670849
,,0.021275947246782438,-267.6335785269323,0.038365084918262196,20.465828455847372,0.057037561223840724,366.1169698702513
,,0.021767328202192397,-255.55642196403255,0.03896566164154104,30.931255213219174,0.057622538551709734,377.5976473296671
,,0.022231410215635135,-244.02957918540278,0.039566238364819886,41.54271118115889,0.05791112736679177,383.1050346996594
,,0.022750090113012322,-232.8948518795944,0.04016681508809872,52.44622557023456,0.06440827555499014,540.7030038381895
,,0.02335066683629116,-224.23045205256108,0.04076739181137756,63.9825332051048,0.06601891313105612,590.7220648246821
,,0.023951243559570005,-215.51737582200508,0.04136796853465641,75.42148803292969,0.06645569620253165,603.6395654095079
,,0.024551820282848844,-206.80429959144885,0.04196854525793525,86.22764961496011,0.06686518033203995,615.6391680993349
,,0.02515239700612769,-198.33460537850624,0.042569121981214084,96.93645838994519,0.06727466446154826,628.3367556468171
,,0.025752973729406527,-189.76755835851827,0.04316969870449293,108.03467839311156,0.06899449780548311,677.8352495400813
,,0.02635355045268537,-181.2005113385303,0.043770275427771774,119.32760401036842,0.06948587876089307,691.2807538908959
,,0.02695412717596421,-172.39008230092895,0.04437085215105062,131.69141050512394,0.06994996077433581,703.8338575104617
,,0.027554703899243048,-164.26112291264485,0.04494412993236223,143.12063005224434,0.07041404278777856,715.7920273091951
,,0.028138901257341566,-158.867777402334,0.04554015683197987,153.04412618373044,0.07216117507368064,764.4576138532938
,,0.028673960519899074,-153.67400514646624,0.04615698292547732,162.15936222434277,0.07274810232597587,774.2442752059885
,,0.02944743054230365,-145.55315849210274,0.04671856116023154,176.47370174597052,0.07330773063630389,775.0474358641123
,,0.03132195789071942,-119.91691930350203,0.04731913788351039,187.66927455618224,0.07390830735958273,775.0474358641123
,,0.031922534613998264,-113.15089921385265,0.04772862201301868,195.56702102773363,0.07445428619892713,775.0474358641123
,,0.032386616627441,-108.16156785277985,0.06479046074253123,510.1991242973229,0.07707498462778026,773.4411145478646
,,0.03361506901596591,-85.94078964468599,0.06539103746581007,516.5757331587913,0.07771650976400993,768.8229407636522
,,0.03574438648940907,-59.26612051426855,0.0659916141890889,523.2930768449182,0.07819424124843628,756.4408806175758
,,0.03634496321268792,-51.33186674007516,0.06659219091236775,529.7183621099093,0.0786310243199118,743.8580303069684
,,0.03675444734219621,-45.64889662880455,0.06719276763564659,536.630411410127,0.07893131268155122,735.9602838354169
,,0.03983922778449209,10.097754505520925,0.06779334435892544,541.6440809729609,0.08046005343171554,693.0060619713101
,,0.04043980450777092,21.342003719255217,0.06839392108220427,544.5646651843203,0.08089683650319106,681.8043080304925
