sim 6 d_p,,sim 1 d_p,,sim divided,,theoretical,
X,Y,X,Y,X,Y,X,Y
0.015739856631100627,0.0891921886580323,0.02073495370708761,0.11220967675800697,0.03733941130260293,0.12698123391631708,,
0.01629246661795411,0.09190010771617912,0.021122658617545018,0.11445106435179972,0.03766897220522629,0.12554149664214423,,
0.016963667505680055,0.09505304203233314,0.021980041740795916,0.11697258997799817,0.03948169693610461,0.12906167988410816,,
0.017595359679266884,0.09804090434436127,0.022393987056780765,0.11940056667676899,0.040125034916176305,0.13181949221043604,,
0.018170873194247844,0.10058956680082509,0.022867858216479228,0.12156237013591836,0.0408032264558327,0.13395216275079072,,
0.0186783260388379,0.10311218573610043,0.02351987499425076,0.12419071288634301,0.0412599832137541,0.1361843816654771,,
0.019332967863480627,0.10590503695232545,0.02435044830345777,0.12696705488951857,0.041716745562333485,0.13841226670208828,,
0.019964988022336302,0.10863864508394411,0.024764472867019646,0.12933359886657397,0.042405479219409556,0.1411704670200808,,
0.020478352987752593,0.11097707755541988,0.025152557709276407,0.13128046332950888,0.04312651802780247,0.14417932924119023,,
0.02103122224137044,0.11348401301783106,0.025890884229844133,0.13371798574136104,0.04362975970926029,0.14666727463606813,,
0.021702724791683864,0.11640309849617955,0.02672170017360799,0.1363062374360746,0.04408654162514265,0.14887999109941627,,
0.02233495180488522,0.11897635313901725,0.0271358685568467,0.1385612923996465,0.04481503734634251,0.1516068665134287,,
0.022987140495389996,0.12147142913863068,0.02761006257704418,0.14047281439995532,0.04558620138863434,0.15424893142208082,,
0.023401179734429123,0.12382659668573878,0.02832752931498489,0.1427516289077943,0.046119338414870495,0.15665617594838152,,
0.023994253506161967,0.12595921691017153,0.029017575590791878,0.14529208529480958,0.04744450046462868,0.15873072153572815,,
0.024603948304104145,0.12840388641920025,0.029805334929560195,0.14766629659501493,0.049096942428549645,0.15783458490305516,,
0.02502084367054476,0.1307444288050021,0.03011221676897445,0.14995086687838816,0.04921867844725297,0.15584150481857925,,
0.025812054088608594,0.13324265681759123,0.031090327542582258,0.15228740713576006,0.04957857202387608,0.1539820490633997,,
0.026501126912269482,0.135737935199024,0.03177865723226496,0.15475891439518125,0.050045428305459466,0.15131771030242974,,
0.02695798709736373,0.13788997736931988,0.03261362251156609,0.15692989456365486,0.0503902922366706,0.14827914100194986,,
0.027516904744096335,0.14010708808984948,0.0331141149869565,0.15898300556826134,0.05124109673948504,0.14526976332217362,,
0.028092820786452685,0.14234371132490173,0.033859169398529065,0.1613371047406272,0.05197496787834391,0.14382961496691865,,
0.02880448918616335,0.1449184575552916,0.034564652201060087,0.16357488803721273,0.05348982640465183,0.14731397595598764,,
0.029567384785051914,0.1473718853891301,0.03600213150164776,0.16597237418180213,0.05416368029253893,0.14951002694739543,,
0.029922374795550502,0.14931367409367435,0.037047279855233956,0.16868816868804865,0.05463755564523087,0.15166857999798847,,
0.030753549799323862,0.15162358246901073,0.03775958838528466,0.1707666858788326,0.05529838819182309,0.1540612731596684,,
0.03146496312526367,0.1543960618865798,0.03847193604994133,0.1728148659230904,0.05598018151289064,0.156701009950613,,
0.032228018057905,0.1567259741952762,0.03921839231900531,0.1748153934348902,0.05648344276165143,0.15917378677222788,,
0.032940038669069124,0.15902768610693097,0.040194064168064245,0.17728303216227778,0.05698677249597264,0.16159347358742204,,
0.03348203507125827,0.16116547679550075,0.040948773645988465,0.17948400656664595,0.05770816677703619,0.16432677339425245,,
0.03431372763019522,0.16307417640802904,0.041797653564789275,0.18126573361475645,0.058419790451482906,0.1669361906492436,,
0.034787725977363,0.1651373841409685,0.04274801398932371,0.18355978543045728,0.059627614839535104,0.16979365477707603,,
0.035499819267081026,0.16738275563764612,0.0437783733753245,0.18542309672701424,0.06052901726996546,0.17095750140083818,,
0.036212010393313926,0.16955228426800845,0.044807417838565636,0.18830573614684903,0.06195428065313574,0.16750760755367455,,
0.036941160780564614,0.1717716625594195,0.04583693191707808,0.19082432980837033,0.06234976212227078,0.1644537551273494,,
0.037857346630927435,0.1741645066688652,0.04691996909165032,0.19290812234403523,0.06267610280589092,0.16221116442395683,,
0.03870539843351323,0.17658818940685891,0.048128184825761935,0.1949956661095642,0.06293456731083391,0.15979951222289546,,
0.03953667127380145,0.17882225491587997,0.049429741812992326,0.19750669839598692,0.06349771429033724,0.156538599379224,,
0.04026598658546289,0.18091378380407375,0.050392989729151585,0.20007444243905537,0.06435531493677285,0.15375946316518418,,
0.041182507875305197,0.18304659522900982,0.05160224206443251,0.2018249618751904,0.06382099548637146,0.15226883385178006,,
0.042030626765786894,0.1854182714301016,0.05308884834034583,0.2041162969665467,0.06617926640773075,0.15627473429866104,,
0.04287907690275458,0.18753316535524006,0.05439724344772112,0.20599190748705906,0.06678261161585883,0.15924271623087066,,
0.043812699316561246,0.18960585428506765,0.05570552506473919,0.2079554957324972,0.06748284339287117,0.16188535317564848,,
0.044763171274722624,0.191813445233169,0.05713295981646846,0.20992825556418382,0.06819397136230931,0.16487904095330394,,
0.04580623734115101,0.1940906135971744,0.0585603750008947,0.21191618396913353,0.06886566143260955,0.1676527609378814,,
0.04678314798684327,0.1963310854411881,0.05998773148341208,0.21394961809387247,0.06954738137629096,0.1703493798785625,,
0.04773379605073137,0.19840215922992188,0.06153427520365437,0.2159657871486014,0.07016970803302128,0.1728993340565553,,
0.04856525967222357,0.20048833114962805,0.06331899143682654,0.21810398740877565,0.07079225808312717,0.1752761136897948,,
0.04971423213537353,0.20277946665449406,0.06534228480680077,0.22005055444870542,0.07222060992345092,0.17775342909584085,,
